料號,類別,品名,描述,飲食標籤,辣度,價格TWD
前菜001,前菜,蒜香橄欖油佛卡夏,佛卡夏麵包、蒜、橄欖油、香草,含麩質;素食,0,120
前菜002,前菜,番茄羅勒布魯斯凱塔,烤麵包、番茄丁、羅勒、橄欖油,含麩質;素食,0,160
前菜003,前菜,帕瑪火腿哈密瓜,帕瑪火腿、哈密瓜、黑胡椒,無麩質;非素食,0,260
前菜004,前菜,炸起司米球,義大利米、莫札瑞拉起司、帕瑪森,含麩質;非素食,0,220
前菜005,前菜,香草烤蘑菇,蘑菇、蒜、迷迭香、橄欖油,無麩質;素食,0,200
前菜006,前菜,烤朝鮮薊佐檸檬,朝鮮薊、檸檬、蒜、橄欖油,無麩質;素食,0,230
前菜007,前菜,辣味番茄肉丸,牛肉丸、番茄醬、辣椒、香草,無麩質;非素食,2,240
前菜008,前菜,煙燻鮭魚脆餅,煙燻鮭魚、薄脆餅、檸檬,含麩質;非素食,0,260
沙拉001,沙拉,經典凱薩沙拉,蘿蔓生菜、帕瑪森、麵包丁、凱薩醬,含麩質;非素食,0,280
沙拉002,沙拉,義式番茄起司沙拉,番茄、莫札瑞拉、羅勒、橄欖油,無麩質;素食,0,300
沙拉003,沙拉,烤雞胸沙拉,雞胸肉、生菜、油醋醬,無麩質;非素食,0,320
沙拉004,沙拉,煙燻鮭魚沙拉,鮭魚、生菜、檸檬油醋,無麩質;非素食,0,340
沙拉005,沙拉,藜麥蔬菜沙拉,藜麥、甜椒、小黃瓜、橄欖油,無麩質;素食,0,300
沙拉006,沙拉,辣味牛肉沙拉,牛肉片、辣椒、生菜、紅酒醋,無麩質;非素食,2,360
湯品001,湯品,番茄蔬菜湯,番茄、洋蔥、芹菜、胡蘿蔔,無麩質;素食,0,180
湯品002,湯品,南瓜濃湯,南瓜、鮮奶油、洋蔥,無麩質;素食,0,200
湯品003,湯品,海鮮番茄湯,白蝦、淡菜、番茄、蒜,無麩質;非素食,1,260
湯品004,湯品,雞肉蔬菜湯,雞肉、胡蘿蔔、洋蔥、香草,無麩質;非素食,0,220
義大利麵001,義大利麵,番茄羅勒義大利麵,番茄醬、羅勒、橄欖油,含麩質;素食,0,280
義大利麵002,義大利麵,奶油培根義大利麵,培根、鮮奶油、洋蔥,含麩質;非素食,0,320
義大利麵003,義大利麵,青醬雞肉義大利麵,雞肉、羅勒青醬、松子,含麩質;非素食,0,340
義大利麵004,義大利麵,辣味海鮮義大利麵,白蝦、花枝、辣椒、蒜,含麩質;非素食,2,360
義大利麵005,義大利麵,松露野菇義大利麵,野菇、松露醬、奶油,含麩質;素食,0,380
義大利麵006,義大利麵,蒜辣橄欖油義大利麵,蒜、辣椒、橄欖油,含麩質;素食,2,260
義大利麵007,義大利麵,經典肉醬義大利麵,牛肉末、番茄、洋蔥,含麩質;非素食,0,300
義大利麵008,義大利麵,海膽奶油義大利麵,海膽、鮮奶油、蒜,含麩質;非素食,0,420
燉飯001,燉飯,野菇奶油燉飯,義大利米、綜合野菇、奶油,無麩質;素食,0,320
燉飯002,燉飯,松露起司燉飯,義大利米、松露醬、起司,無麩質;素食,0,380
燉飯003,燉飯,海鮮番茄燉飯,白蝦、淡菜、番茄,無麩質;非素食,1,360
燉飯004,燉飯,番紅花奶油燉飯,番紅花、奶油、帕瑪森,無麩質;素食,0,340
比薩001,比薩,瑪格麗特比薩,番茄、莫札瑞拉、羅勒,含麩質;素食,0,320
比薩002,比薩,四種起司比薩,莫札瑞拉、帕瑪森、藍紋、羊乳起司,含麩質;素食,0,360
比薩003,比薩,帕瑪火腿芝麻葉比薩,帕瑪火腿、芝麻葉、帕瑪森,含麩質;非素食,0,420
比薩004,比薩,辣味臘腸比薩,義大利臘腸、辣椒、莫札瑞拉,含麩質;非素食,2,380
帕里尼001,帕里尼,烤雞起司帕里尼,雞肉、莫札瑞拉、帕里尼麵包,含麩質;非素食,0,280
帕里尼002,帕里尼,火腿起司帕里尼,火腿、莫札瑞拉、帕里尼麵包,含麩質;非素食,0,260
帕里尼003,帕里尼,烤蔬菜帕里尼,櫛瓜、甜椒、茄子、起司,含麩質;素食,0,240
方餃001,方餃,瑞可塔菠菜方餃,瑞可塔起司、菠菜,含麩質;素食,0,300
方餃002,方餃,牛肉香草方餃,牛肉、香草、起司,含麩質;非素食,0,320
方餃003,方餃,松露起司方餃,起司、松露醬,含麩質;素食,0,360
主菜001,主菜,香煎雞腿排,雞腿肉、香草、檸檬,無麩質;非素食,0,420
主菜002,主菜,香煎鮭魚佐檸檬奶油,鮭魚、檸檬、奶油,無麩質;非素食,0,460
